"","company","rank","revenues","profits","employees","sector","city","state","ceo_founder","ceo_woman","profitable","market_cap","website","ticker","assets"
"1","Walmart",1,"$648125MM","$15511MM",2100000,"Retailing","Bentonville","Arkansas","no","no","yes","$484852.8MM","https://www.stock.walmart.com","WMT","$252399MM"
"2","Amazon",2,"$574785MM","$30425MM",1525000,"Retailing","Seattle","Washington","no","no","yes","$1873675.8MM","https://www.amazon.com","AMZN","$527854MM"
"3","Apple",3,"$383285MM","$96995MM",161000,"Technology","Cupertino","California","no","no","yes","$2647973.8MM","https://www.apple.com","AAPL","$352583MM"
"4","UnitedHealth Group",4,"$371622MM","$22381MM",440000,"Health Care","Minnetonka","Minnesota","no","no","yes","$456080.8MM","https://www.unitedhealthgroup.com","UNH","$273720MM"
"5","Berkshire Hathaway",5,"$364482MM","$96223MM",396500,"Financials","Omaha","Nebraska","no","no","yes","$908919.7MM","https://www.berkshirehathaway.com","BRKA","$1069978MM"
"6","CVS Health",6,"$357776MM","$8344MM",259500,"Health Care","Woonsocket","Rhode Island","no","yes","yes","$100373.9MM","https://www.cvshealth.com","CVS","$249728MM"
"7","Exxon Mobil",7,"$344582MM","$36010MM",61500,"Energy","Spring","Texas","no","no","yes","$461222.2MM","https://www.exxonmobil.com","XOM","$376317MM"
"8","Alphabet",8,"$307394MM","$73795MM",182502,"Technology","Mountain View","California","no","no","yes","$1884633MM","https://www.abc.xyz","GOOGL","$402392MM"
"9","McKesson",9,"$276711MM","$3560MM",48000,"Health Care","Irving","Texas","no","no","yes","$70546.5MM","https://www.mckesson.com","MCK","$62320MM"
"10","Cencora",10,"$262173.4MM","$1745.3MM",44000,"Health Care","Conshohocken","Pennsylvania","no","no","yes","$48472.1MM","https://www.cencora.com","COR","$62558.7MM"
"11","Costco Wholesale",11,"$242290MM","$6292MM",316000,"Retailing","Issaquah","Washington","no","no","yes","$324924.4MM","https://www.costco.com","COST","$68994MM"
"12","JPMorgan Chase",12,"$239425MM","$49552MM",309926,"Financials","New York","New York","no","no","yes","$576938.4MM","https://www.jpmorganchase.com","JPM","$3875393MM"
"13","Microsoft",13,"$211915MM","$72361MM",221000,"Technology","Redmond","Washington","no","no","yes","$3126133.1MM","https://www.microsoft.com","MSFT","$411976MM"
"14","Cardinal Health",14,"$205012MM","$261MM",47520,"Health Care","Dublin","Ohio","no","no","yes","$27217.8MM","https://www.cardinalhealth.com","CAH","$43417MM"
"15","Chevron",15,"$200949MM","$21369MM",45600,"Energy","San Ramon","California","no","no","yes","$292965.6MM","https://www.chevron.com","CVX","$261632MM"
"16","Cigna",16,"$195265MM","$5164MM",71413,"Health Care","Bloomfield","Connecticut","no","no","yes","$103017.9MM","https://www.thecignagroup.com","CI","$152761MM"
"17","Ford Motor",17,"$176191MM","$4347MM",177000,"Motor Vehicles & Parts","Dearborn","Michigan","no","no","yes","$53017.8MM","https://www.ford.com","F","$273310MM"
"18","Bank of America",18,"$171912MM","$26515MM",212985,"Financials","Charlotte","North Carolina","no","no","yes","$299213MM","https://www.bankofamerica.com","BAC","$3180151MM"
"19","General Motors",19,"$171842MM","$10127MM",163000,"Motor Vehicles & Parts","Detroit","Michigan","no","yes","yes","$52353.5MM","https://www.gm.com","GM","$273064MM"
